date,open,high,low,close,volume,symbol,metric
2021-05-03,0.19163706,0.20335245,0.18696995,0.19393886,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-04,0.19535169,0.23884785,0.19535169,0.22206849,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-05,0.21852848,0.22370356,0.20473353,0.21849673,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-06,0.21951269,0.23375213,0.20955938,0.21094046,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-07,0.20346357,0.20346357,0.18419191,0.18581111,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-10,0.18485864,0.22260822,0.18485864,0.21530595,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-11,0.22633873,0.26167539,0.22633873,0.23913359,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-12,0.23516496,0.28934465,0.23516496,0.28543953,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-13,0.27886748,0.27886748,0.23446648,0.24557864,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-14,0.24730896,0.24730896,0.20905139,0.21073409,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-17,0.21248029,0.23589519,0.21248029,0.22441792,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-18,0.22240186,0.22727533,0.21500433,0.22213199,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-19,0.23141858,0.26226274,0.23141858,0.24151476,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-20,0.23540308,0.23540308,0.21144844,0.21340101,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-21,0.21224217,0.21224217,0.20171737,0.20778143,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-24,0.20878153,0.20878153,0.18643022,0.18912889,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-25,0.19143069,0.20324132,0.18870028,0.19882821,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-26,0.19809798,0.19930445,0.18877965,0.18904951,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-27,0.18806529,0.18933526,0.17974705,0.18296958,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-05-28,0.18460465,0.18460465,0.16946037,0.17212729,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-06-01,0.17827072,0.19130369,0.17827072,0.18496977,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-06-02,0.18660484,0.18698583,0.17920732,0.18333469,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-06-03,0.18179486,0.1992092,0.18179486,0.19095446,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-06-04,0.19135132,0.19135132,0.17122244,0.17122244,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-06-07,0.16828566,0.17774686,0.16828566,0.17239716,1,QQQ,OPTION_IMPLIED_VOLATILITY
2021-06-08,0.1709367,0.18236635,0.16965087,0.17469896,1,QQQ,OPTION_IMPLIED_VOLATILITY
