date,open,high,low,close,volume,symbol,metric
2021-04-26,0.22905327,0.23478397,0.22517989,0.22746582,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-04-27,0.22640223,0.23073597,0.22435442,0.22641811,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-04-28,0.22762457,0.23132333,0.22132239,0.22329083,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-04-29,0.22368769,0.24394356,0.21975081,0.22775156,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-04-30,0.22686259,0.24195925,0.22686259,0.23684766,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-03,0.23672066,0.23672066,0.2241798,0.22692609,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-04,0.22744995,0.25962758,0.22744995,0.24408643,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-05,0.24254661,0.24865829,0.23203768,0.24046705,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-06,0.24014956,0.25835762,0.23772076,0.23772076,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-07,0.23740327,0.23975269,0.21198818,0.21376612,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-10,0.21492496,0.24389594,0.21492496,0.24389594,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-11,0.24883291,0.27918497,0.24883291,0.26475504,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-12,0.26588213,0.31985546,0.26588213,0.31560109,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-13,0.31709329,0.31709329,0.27454961,0.28247099,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-14,0.28294723,0.28294723,0.23929233,0.24034005,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-17,0.2428641,0.2693269,0.2428641,0.25299203,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-18,0.25156333,0.26083404,0.24094328,0.26083404,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-19,0.2620405,0.29667868,0.2620405,0.26900941,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-20,0.27010475,0.27010475,0.25100772,0.25348414,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-21,0.25424612,0.25424612,0.23426011,0.23926058,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-24,0.24175288,0.24492778,0.22071916,0.22557676,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-25,0.22495765,0.23272029,0.22170338,0.23079947,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-26,0.23003749,0.23281553,0.21665528,0.21665528,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-27,0.21586156,0.21586156,0.20292383,0.20751157,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-05-28,0.20814655,0.20887677,0.19573268,0.20451128,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-01,0.20360644,0.21438523,0.20352707,0.20409855,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-02,0.20500339,0.21078172,0.20149513,0.20576537,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-03,0.20619398,0.22803731,0.20619398,0.21894121,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-04,0.21832211,0.21832211,0.19289115,0.19306576,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-07,0.19298639,0.19943144,0.1895575,0.1895575,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-08,0.18833516,0.19430398,0.18257271,0.18633497,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-09,0.18763668,0.20012992,0.18670009,0.19935207,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-10,0.19781224,0.19781224,0.18028679,0.18885902,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-11,0.18870028,0.18870028,0.17935019,0.17935019,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-14,0.181398,0.19160531,0.181398,0.18749381,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-15,0.18646197,0.20114589,0.18646197,0.19289115,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-16,0.19246253,0.20674959,0.18987499,0.19571681,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-17,0.19574856,0.21070234,0.18654134,0.19352613,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-18,0.19527232,0.22803731,0.19527232,0.21854435,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-21,0.22484653,0.22519577,0.20081252,0.20086015,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-22,0.20059028,0.20382868,0.18920826,0.18920826,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-23,0.18865265,0.18865265,0.18057253,0.18422366,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-24,0.18522376,0.18522376,0.17796911,0.17871521,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-25,0.1797788,0.1813345,0.17322263,0.17722301,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-28,0.17615941,0.1911132,0.17615941,0.1815885,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-29,0.18281083,0.18831929,0.17888983,0.18831929,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-06-30,0.18812879,0.19379599,0.18446178,0.18798592,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-01,0.1878113,0.1878113,0.17988992,0.18255684,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-02,0.18289021,0.18379505,0.1764769,0.18363631,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-06,0.18400142,0.2170204,0.18400142,0.20479703,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-07,0.20505102,0.22051279,0.20384456,0.2111627,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-08,0.21067059,0.24961076,0.21067059,0.23164082,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-09,0.23037086,0.23037086,0.19979656,0.20135226,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-12,0.20109827,0.2120993,0.19816148,0.20155863,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-13,0.20165387,0.21732201,0.20165387,0.21732201,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-14,0.21660766,0.22473541,0.2056225,0.2241798,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-15,0.22425917,0.23481572,0.22059216,0.22149701,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-16,0.22190975,0.2378795,0.21503608,0.23603806,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-19,0.23564119,0.28089942,0.23564119,0.2692634,1,IWM,OPTION_IMPLIED_VOLATILITY
2021-07-20,0.26813631,0.26885067,0.22759282,0.23472047,1,IWM,OPTION_IMPLIED_VOLATILITY
